3210,5,5,33
3220,5,5,33
3230,5,5,32
3240,5,5,33
3250,5,5,32
3260,5,5,32
3270,6,5,32
3280,5,5,32
3290,6,5,33
3300,5,4,33
3310,5,5,33
3320,6,5,32
3330,6,5,33
3340,5,5,32
3350,6,5,33
3360,5,5,33
3370,6,4,33
3380,5,5,33
3390,6,5,33
3400,5,4,33
3410,6,5,33
3420,5,5,33
3430,6,4,33
3440,7,6,32
3450,5,4,32
3460,6,5,33
3470,5,4,33
3480,6,5,33
3490,5,4,34
3500,6,4,33
3510,5,4,33
3520,6,4,33
3530,5,5,32
3540,6,4,32
3550,5,4,32
3560,6,4,32
3570,5,4,32
3580,6,4,33
3590,5,4,32
3600,5,4,33
3610,6,4,33
3620,5,4,33
3630,5,4,33
3640,6,4,32
3650,5,4,32
3660,5,4,32
3670,6,5,32
3680,5,4,33
3690,5,4,34
3700,5,3,35
3710,6,4,36
3720,5,4,39
3730,5,4,40
3740,5,4,42
3750,5,4,43
3760,5,4,45
3770,5,4,46
3780,6,4,47
3790,4,4,47
3800,5,4,47
3810,5,4,48
3820,5,4,48
3830,5,5,49
3840,4,4,49
3850,5,4,49
3860,4,5,49
3870,5,4,48
3880,4,5,49
3890,4,4,50
3900,5,5,49
3910,4,5,49
3920,4,5,49
3930,4,5,49
3940,4,6,49
3950,4,5,49
3960,4,5,49
3970,4,6,50
3980,4,5,49
3990,4,5,49
4000,4,6,49
4010,4,6,49
4020,3,5,48
4030,4,6,47
4040,4,6,47
4050,4,5,46
4060,3,6,45
4070,4,6,44
4080,4,6,43
4090,3,6,40
4100,4,6,37
4110,3,6,36
4120,4,6,34
4130,3,6,33
4140,4,7,32
4150,3,6,32
4160,3,6,32
4170,4,6,32
4180,3,6,32
4190,4,6,31
4200,3,6,31
4210,3,6,31
4220,4,6,32
4230,3,5,31
4240,4,6,31
4250,3,6,32
4260,3,6,32
4270,4,6,32
4280,3,6,32
4290,4,5,32
4300,3,6,32
4310,4,5,32
4320,4,6,32
4330,4,5,32
4340,4,5,32
4350,4,6,32
4360,4,5,32
4370,4,5,32
4380,4,5,33
4390,4,5,32
4400,5,5,31
4410,4,4,32
4420,5,5,32
4430,5,4,32
4440,5,4,32
4450,5,4,32
4460,5,4,32
4470,5,4,33
4480,5,4,32
4490,6,4,33
4500,5,3,33
4510,6,4,32
4520,5,3,32
4530,6,4,32
4540,6,3,32
4550,6,3,32
4560,6,4,32
4570,6,3,32
4580,6,3,32
4590,6,4,32
4600,5,3,33
4610,7,3,32
4620,6,3,32
4630,5,3,33
4640,6,4,32
4650,6,3,32
4660,6,3,33
4670,6,4,32
4680,6,3,32
4690,7,4,32
4700,6,4,32
4710,5,3,32
4720,7,4,32
4730,5,3,32
4740,6,4,32
4750,6,4,32
4760,6,4,31
4770,6,3,33
4780,6,4,33
4790,6,4,35
4800,5,4,39
4810,6,4,43
4820,6,4,45
4830,5,3,47
4840,6,4,49
4850,5,4,49
4860,5,4,50
4870,6,4,49
4880,5,4,49
4890,5,4,50
4900,5,4,50
4910,6,4,50
4920,5,5,50
4930,5,4,49
4940,5,4,49
4950,5,5,49
4960,5,4,49
4970,5,4,49
4980,4,5,50
4990,5,5,50
5000,5,4,50
