@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
106.0,100.0,61
106.0,100.0,62
107.5,98.5,62
107.5,98.5,62
109.0,99.5,62
109.0,99.5,62
111.5,98.0,62
111.5,98.0,62
114.5,99.5,62
114.5,99.5,62
116.0,99.5,62
116.0,99.5,62
118.5,98.5,62
118.5,98.5,62
118.0,98.5,62
118.0,98.5,62
120.0,98.0,62
120.0,98.0,62
122.0,98.5,62
123.0,99.5,62
123.0,99.5,62
123.0,99.5,62
125.0,98.0,62
128.0,97.0,62
128.0,97.0,62
128.5,97.0,62
128.5,97.0,62
129.0,98.0,62
129.0,98.0,62
130.0,97.0,62
130.0,97.0,62
133.5,98.0,62
133.5,98.0,62
133.0,97.5,62
133.0,97.5,62
136.0,97.0,62
138.5,97.5,62
138.5,97.5,62
138.5,97.5,62
139.0,98.5,62
141.5,97.5,62
141.5,97.5,62
142.5,97.0,61
142.5,97.0,62
144.5,97.0,62
144.5,97.0,62
145.5,96.0,62
145.5,96.0,62
147.5,96.0,62
147.5,96.0,62
149.0,96.0,62
149.0,96.0,62
150.5,97.0,62
150.5,97.0,62
153.5,97.5,62
153.5,97.5,62
153.0,97.0,62
153.0,97.0,62
154.5,97.5,62
154.5,97.5,62
157.5,96.5,62
157.5,96.5,62
158.5,96.0,62
158.5,96.0,62
160.0,95.0,62
162.5,96.0,62
162.5,96.0,62
162.5,96.0,62
163.5,95.5,62
166.5,95.5,62
166.5,95.5,62
166.5,95.5,62
166.0,95.0,62
167.0,95.5,62
167.0,95.5,62
167.0,95.5,62
170.0,94.5,62
170.0,94.0,62
170.0,94.0,62
170.0,94.0,62
173.5,94.0,62
173.0,94.5,62
173.0,94.5,62
176.5,95.5,62
176.5,95.5,62
178.5,94.0,62
178.5,94.0,62
180.0,95.0,62
180.0,95.0,62
182.0,94.5,62
182.0,94.5,62
181.5,94.0,62
181.5,94.0,62
186.5,93.0,62
186.5,93.0,62
184.0,94.0,62
184.0,94.0,62
187.5,94.5,62
189.5,93.0,62
189.5,93.0,62
189.5,93.0,62
190.5,93.5,62
192.5,94.5,62
192.5,94.5,62
192.5,94.5,62
194.0,93.0,62
197.5,93.5,62
197.5,93.5,62
197.5,93.5,62
197.5,94.0,62
199.0,93.5,62
199.0,93.5,62
201.0,92.0,62
201.0,92.0,62
201.0,92.0,62
203.0,93.5,62
203.0,93.5,62
203.0,93.0,62
206.0,93.5,62
206.0,93.5,62
206.5,93.5,62
206.5,93.5,62
209.0,93.0,61
209.0,93.0,61
210.5,92.0,61
210.5,92.0,61
213.5,93.0,61
213.5,93.0,61
214.5,92.0,61
214.5,92.0,61
216.0,91.5,61
216.0,91.5,61
218.0,91.0,61
218.0,91.0,61
219.0,91.0,61
219.0,91.0,61
220.0,92.0,61
220.0,92.0,61
222.5,92.0,61
223.5,92.0,60
223.5,92.0,60
223.5,92.0,60
226.5,91.0,60
227.5,91.5,60
227.5,91.5,60
227.5,91.5,60
229.0,92.5,60
231.0,91.0,60
231.0,91.0,60
233.5,91.5,60
233.5,91.5,60
233.5,92.0,60
233.5,92.0,61
234.5,90.0,61
234.5,90.0,61
237.0,90.0,61
237.0,90.0,61
239.5,90.5,61
239.5,90.5,61
239.0,90.5,61
239.0,90.5,61
243.0,90.5,61
243.0,90.5,61
244.5,90.0,61
245.5,89.0,61
245.5,89.0,61
245.5,89.0,61
246.5,88.5,61
247.5,88.5,61
247.5,88.5,61
247.5,88.5,61
250.0,88.5,61
251.0,88.0,61
251.0,88.0,61
251.0,88.0,61
254.5,88.5,61
254.5,88.0,61
254.5,88.0,61
254.5,88.0,61
256.0,88.5,61
258.0,87.0,61
258.0,87.0,61
258.0,87.0,61
259.5,89.5,61
261.5,89.0,61
261.5,89.0,61
261.5,89.0,61
262.5,88.5,61
265.5,88.0,61
265.5,88.0,61
265.5,88.0,61
267.5,87.0,61
268.5,88.5,61
268.5,88.5,61
268.5,88.5,61
269.0,87.5,61
272.0,87.0,61
272.0,87.0,61
273.0,88.5,61
273.0,88.5,61
275.0,87.5,61
275.0,87.5,61
276.0,87.5,61
276.0,87.5,61
278.5,86.5,61
278.5,86.5,61
279.5,88.5,61
279.5,88.5,61
279.5,88.5,61
282.5,87.0,61
284.0,87.5,61
284.0,87.5,61
285.5,88.0,61
285.5,88.0,61
286.5,86.5,61
286.5,86.5,61
289.0,86.5,61
289.0,86.5,61
290.0,86.0,61
290.0,86.0,61
291.0,86.0,61
291.0,86.0,61
293.0,86.5,61
293.0,86.5,61
294.5,85.0,61
294.5,85.0,61
297.5,86.0,61
297.5,86.0,61
299.5,87.5,61
300.5,84.5,61
300.5,84.5,61
301.0,85.0,61
301.0,85.0,61
303.5,85.0,60
303.5,85.0,60
304.0,85.0,60
304.0,85.0,60
307.0,85.5,60
307.0,85.5,60
306.0,86.0,60
306.0,86.0,60
310.0,84.0,60
310.0,84.0,60
312.0,85.0,60
312.0,85.0,60
313.0,85.5,60
313.0,85.5,60
315.5,84.5,60
315.5,84.5,60
317.0,84.5,60
317.0,84.5,60
318.0,84.5,60
318.0,84.5,60
319.0,84.5,60
319.0,84.5,60
321.0,84.0,60
322.0,84.0,60
322.0,84.0,60
324.0,83.5,60
324.0,83.5,60
326.5,83.5,60
326.5,83.5,60
328.5,84.0,61
328.5,84.0,60
330.0,83.0,60
330.0,83.0,61
331.5,84.0,61
331.5,84.0,61
332.5,82.5,61
332.5,82.5,61
335.0,83.0,61
335.0,83.0,61
336.0,83.5,61
336.0,83.5,61
337.5,82.0,61
337.5,82.0,61
339.5,82.0,61
339.5,82.0,61
341.5,83.0,61
341.5,83.0,61
342.5,83.0,61
342.5,83.0,61
344.0,83.5,61
344.0,83.5,61
346.0,82.5,61
346.0,82.5,61
347.5,82.5,61
349.0,81.0,61
349.0,81.0,61
349.0,81.0,61
351.5,82.0,61
353.5,81.5,61
353.5,81.5,61
354.5,81.5,61
354.5,81.5,61
356.0,81.5,61
356.0,81.5,61
358.5,81.5,61
358.5,81.5,61
358.0,81.0,61
358.0,81.0,61
361.0,81.5,61
361.0,81.5,61
362.5,81.5,61
362.5,81.5,61
364.0,81.0,61
364.0,81.0,61
365.5,80.5,61
365.5,80.5,61
368.5,80.0,61
368.5,80.0,61
368.0,81.0,61
368.0,81.0,61
371.5,80.0,61
371.5,80.0,61
371.0,80.5,61
371.0,80.5,61
373.5,81.0,61
373.5,81.0,61
374.0,80.0,61
374.0,80.0,61
377.5,80.0,61
377.5,80.0,61
378.0,80.5,61
378.0,80.5,61
380.0,81.0,61
380.0,81.0,61
382.0,80.5,61
382.0,80.5,61
384.0,80.5,62
386.0,79.0,62
386.0,79.0,62
388.5,78.5,62
388.5,78.5,62
389.0,80.0,62
389.0,80.0,62
390.0,80.0,62
390.0,80.0,62
391.0,79.0,62
391.0,79.0,62
393.0,79.5,62
393.0,79.5,62
396.0,79.5,62
396.0,79.5,62
396.5,79.0,62
396.5,79.0,62
398.0,78.0,62
398.0,78.0,62
400.0,78.0,62
400.0,78.0,62
403.5,77.5,62
403.5,77.5,62
403.5,79.0,62
403.5,79.0,62
405.5,78.5,62
405.5,78.5,62
406.0,79.0,62
406.0,79.0,62
409.5,78.5,62
409.5,78.5,62
410.0,78.0,62
411.5,77.0,62
411.5,77.0,62
412.0,76.0,62
412.0,76.0,61
412.0,76.0,62
414.0,77.0,62
415.0,77.5,61
415.0,77.5,61
418.0,77.0,61
418.0,77.0,62
420.0,76.5,61
420.0,76.5,62
420.0,76.5,61
420.0,76.5,62
423.5,76.0,62
423.5,76.0,62
426.5,77.0,62
426.5,77.0,62
427.0,75.5,62
427.0,75.5,62
429.5,76.5,62
429.5,76.5,62
430.0,76.5,62
430.0,76.5,62
432.0,75.5,62
432.0,75.5,62
433.5,76.5,62
433.5,76.5,62
434.0,76.0,62
434.0,76.0,62
437.0,75.5,62
437.0,75.5,62
437.5,76.0,62
437.5,76.0,62
439.0,76.0,62
439.0,76.0,62
441.5,75.0,62
441.5,75.0,62
442.5,76.5,62
442.5,76.5,62
444.5,75.0,62
444.5,75.0,62
446.0,75.5,62
446.0,75.5,62
447.5,75.0,62
447.5,75.0,62
449.0,76.5,62
451.0,75.0,62
451.0,75.0,62
451.0,75.0,62
452.0,75.0,62
454.0,74.0,62
454.0,74.0,62
454.0,74.0,62
456.5,74.0,62
457.0,75.0,62
457.0,75.0,62
460.0,74.0,62
460.0,74.0,62
461.5,73.0,62
461.5,73.0,62
462.0,73.0,62
462.0,73.0,62
464.5,73.0,62
464.5,73.0,62
466.0,73.5,62
466.0,73.5,62
467.5,73.5,62
467.5,73.5,62
470.0,73.5,62
470.0,73.5,62
470.0,72.0,62
470.0,72.0,62
473.0,72.5,62
473.0,72.5,62
474.0,73.5,62
474.0,73.5,62
475.5,72.0,62
475.5,72.0,62
477.0,73.5,62
477.0,73.5,62
